id	name	north	south	east	west
313	East Baton Rouge Parish, Baton Rouge, Louisiana, USA	30.5457	30.3504	-91.0094	-91.2181
315	Tillamook Co., Oregon, USA	45.7793	45.0468	-123.298	-124.025
316	Muddlety Creek Trail, Summersville, West Virginia, USA	38.3058	38.2754	-80.8223	-80.8285
318	Pink Beds Trail, Pisgah Forest, North Carolina, USA	35.3641	35.3387	-82.7525	-82.7827
319	Whipple, West Virginia, USA	37.9631	37.9557	-81.1591	-81.1723
320	Jonesville, New York, USA	42.9157	42.8958	-73.8068	-73.834
321	Canada	83	41.677	-52.6176	-141
322	Sendero del Calvario, Coroico, Coroico Canton, Coroico Municipality, Nor Yungas Province, La Paz Department, Bolivia	-16.1918	-16.2059	-67.7152	-67.725
323	Larch Mountain, Multnomah Co., Oregon, USA	45.5823	45.5189	-122.064	-122.122
325	Cape Lookout State Park, Tillamook Co., Oregon, USA	45.4375	45.3353	-123.944	-124.011
326	Ginger's Paradise, Samaipata Canton, Samaiata Municipality, Florida Province, Santa Cruz Department, Bolivia	-18.1405	-18.1496	-63.6199	-63.634
327	Paul Bishop's Jones Creek Tree Farm, Beavercreek, Clackamas Co., Oregon, USA	45.2899	45.2019	-122.434	-122.536
328	Beavercreek, Clackamas Co., Oregon, USA	45.2899	45.2019	-122.434	-122.536
330	Rocky Mountain National Park, Larimer Co., Colorado, USA	40.5597	40.1726	-105.537	-105.896
331	Clackamas Co., Oregon, USA	45.4616	44.889	-121.65	-122.789
332	Japan	44.653	30.7277	144.008	130.564
333	Nueva Loja, Sucumbíos, Ecuador	0.1504	0.0549	-76.8329	-76.9297
334	Juniper Mountains, Yavapai Co., Arizona, USA	35.3622	35.0727	-112.937	-113.148
335	Rim of Marble Canyon, Grand Canyon National Park, Coconino Co., Arizona, USA	36.8137	36.1844	-111.651	-111.97
337	Jacksonville, Florida, USA	30.3262	30.3185	-81.6482	-81.6579
338	Forest near Elgin St., Pembroke, Ontario, Canada	45.8113	45.7883	-77.131	-77.1485
339	Windsor Trail, Pecos Wilderness, Santa Fe, New Mexico, USA	35.8434	35.7911	-105.763	-105.823
340	Baird Woods near Herron's Mills, Lanark Co., Ontario, Canada	45.0597	45.0384	-76.3932	-76.4161
341	Elora Gorge Conservation Area, Elora, Ontario, Canada	43.6825	43.6537	-80.4309	-80.4606
342	Oxford Co., Ontario, Canada	43.4146	42.8574	-80.2336	-81.2729
343	Lambton Co., Ontario, Canada	42.9879	42.6508	-81.9141	-82.4005
344	Mill Pond Conservation Area, Leeds-Grenville Co., Ontario, Canada	44.7846	44.7683	-76.1696	-76.1903
345	Charleston Lake Provincial Park, Ontario, Canada	44.5626	44.4803	-75.946	-76.0511
346	Murphys Point Provincial Park, Lanark Co., Ontario, Canada	44.7935	44.749	-76.2018	-76.2685
348	Island Brae Golf Course, Morrison's Island, Quebec, Canada	45.8241	45.8084	-77.0256	-77.0496
349	Saint-Pierre-De-Wakefield, Quebec, Canada	45.7617	45.7195	-75.7426	-75.7928
350	Southern Quebec, Quebec, Canada	46.8677	45.4	-71.9165	-78.4973
351	Jemez Mountains, Los Alamos, New Mexico, USA	35.8662	35.8017	-106.392	-106.46
352	Penobscot Co., Maine, USA	46.2566	44.5592	-68.0164	-69.9156
353	Saint Martins, New Brunswick, Canada	45.368	45.3345	-65.4814	-65.5884
